id_vente;date_mut;nat_mut;val_fonc;id_bien_immo
76;2020-02-17 00:00:00;Vente;189350;76
77;2020-02-21 00:00:00;Vente;310000;77
78;2020-02-25 00:00:00;Vente;435000;78
79;2020-02-20 00:00:00;Vente;505000;79
80;2020-02-25 00:00:00;Vente;442100;80
81;2020-02-17 00:00:00;Vente;506000;81
82;2020-02-12 00:00:00;Vente;292000;82
83;2020-03-03 00:00:00;Vente;200000;83
84;2020-02-27 00:00:00;Vente;315800;84
85;2020-02-28 00:00:00;Vente;167000;85
86;2020-02-25 00:00:00;Vente;640000;86
87;2020-02-28 00:00:00;Vente;74000;87
88;2020-03-04 00:00:00;Vente;232550;88
89;2020-03-04 00:00:00;Vente;90000;89
90;2020-03-09 00:00:00;Vente;282000;90
91;2020-03-03 00:00:00;Vente;152000;91
92;2020-03-17 00:00:00;Vente;164000;92
93;2020-03-05 00:00:00;Vente;389500;93
94;2020-03-11 00:00:00;Vente;43000;94
95;2020-02-28 00:00:00;Vente;139130;95
96;2020-03-11 00:00:00;Vente;229100;96
97;2020-03-10 00:00:00;Vente;222450;97
98;2020-03-16 00:00:00;Vente;147500;98
99;2020-03-10 00:00:00;Vente;440000;99
100;2020-03-02 00:00:00;Vente;495000;100
101;2020-03-11 00:00:00;Vente;510000;101
102;2020-03-27 00:00:00;Vente;170000;102
103;2020-03-03 00:00:00;Vente;251500;103
104;2020-03-19 00:00:00;Vente;98000;104
105;2020-03-25 00:00:00;Vente;132300;105
106;2020-03-10 00:00:00;Vente;126000;106
107;2020-03-16 00:00:00;Vente;131500;107
108;2020-03-12 00:00:00;Vente;266960;108
109;2020-03-31 00:00:00;Vente;114500;109
110;2020-03-11 00:00:00;Vente;181970;110
111;2020-03-19 00:00:00;Vente;70000;111
112;2020-04-01 00:00:00;Vente;45000;112
113;2020-04-07 00:00:00;Vente;375000;113
114;2020-03-18 00:00:00;Vente;247000;114
115;2020-03-16 00:00:00;Vente;16300;115
116;2020-03-16 00:00:00;Vente;60000;116
117;2020-03-31 00:00:00;Vente;164000;117
118;2020-03-17 00:00:00;Vente;93585;118
119;2020-04-03 00:00:00;Vente;210000;119
120;2020-03-14 00:00:00;Vente;120000;120
121;2020-04-10 00:00:00;Vente;50000;121
122;2020-04-03 00:00:00;Vente;174850;122
123;2020-04-22 00:00:00;Vente;223905;123
124;2020-04-15 00:00:00;Vente;540000;124
125;2020-04-15 00:00:00;Vente;230000;125
126;2020-04-08 00:00:00;Vente;445000;126
127;2020-04-27 00:00:00;Vente;44000;127
128;2020-04-09 00:00:00;Vente;145900;128
129;2020-04-22 00:00:00;Vente;57000;129
130;2020-04-21 00:00:00;Vente;138000;130
131;2020-04-09 00:00:00;Vente;190000;131
132;2020-03-16 00:00:00;Vente;182000;132
133;2020-03-26 00:00:00;Vente;271000;133
134;2020-04-28 00:00:00;Vente;114400;134
135;2020-04-29 00:00:00;Vente;98000;135
136;2020-04-17 00:00:00;Vente;505000;136
137;2020-04-24 00:00:00;Vente;289150;137
138;2020-04-29 00:00:00;Vente;104000;138
139;2020-04-30 00:00:00;Vente;245000;139
140;2020-05-06 00:00:00;Vente;115000;140
141;2020-05-07 00:00:00;Vente;483800;141
142;2020-05-07 00:00:00;Vente;185000;142
143;2020-05-07 00:00:00;Vente;188000;143
144;2020-05-13 00:00:00;Vente;185000;144
145;2020-05-05 00:00:00;Vente;162000;145
146;2020-04-17 00:00:00;Vente;76000;146
147;2020-04-29 00:00:00;Vente;367000;147
148;2020-05-19 00:00:00;Vente;324050;148
149;2020-05-20 00:00:00;Vente;170000;149
150;2020-05-15 00:00:00;Vente;79370;150
151;2020-05-15 00:00:00;Vente;69800;151
152;2020-05-18 00:00:00;Vente;54120;152
153;2020-05-19 00:00:00;Vente;116500;153
154;2020-05-12 00:00:00;Vente;136000;154
155;2020-05-12 00:00:00;Vente;234810;155
156;2020-05-15 00:00:00;Vente;410000;156
157;2020-05-14 00:00:00;Vente;205000;157
158;2020-05-06 00:00:00;Vente;294000;158
159;2020-05-11 00:00:00;Vente;620000;159
160;2020-05-12 00:00:00;Vente;230000;160
161;2020-05-15 00:00:00;Vente;469820;161
162;2020-05-29 00:00:00;Vente;371550;162
163;2020-05-12 00:00:00;Vente;315000;163
164;2020-05-20 00:00:00;Vente;82500;164
165;2020-05-12 00:00:00;Vente;439785;165
166;2020-05-18 00:00:00;Vente;65000;166
167;2020-05-15 00:00:00;Vente;469000;167
168;2020-05-18 00:00:00;Vente;161000;168
169;2020-05-19 00:00:00;Vente;513350;169
170;2020-06-02 00:00:00;Vente;83000;170
171;2020-06-02 00:00:00;Vente;471810;171
172;2020-06-11 00:00:00;Vente;220470;172
173;2020-06-04 00:00:00;Vente;243000;173
174;2020-06-04 00:00:00;Vente;100000;174
175;2020-05-29 00:00:00;Vente;193700;175
176;2020-06-04 00:00:00;Vente;100000;176
177;2020-06-17 00:00:00;Vente;595600;177
178;2020-06-26 00:00:00;Vente;225000;178
179;2020-01-14 00:00:00;Vente;106000;179
180;2020-01-10 00:00:00;Vente;203400;180
181;2020-01-07 00:00:00;Vente;212150;181
182;2020-01-03 00:00:00;Vente;102000;182
183;2020-01-16 00:00:00;Vente;150200;183
184;2020-01-13 00:00:00;Vente;129400;184
185;2020-04-06 00:00:00;Vente;130000;185
186;2020-05-15 00:00:00;Vente;84800;186
187;2020-05-20 00:00:00;Vente;282600;187
188;2020-05-22 00:00:00;Vente;145100;188
189;2020-01-16 00:00:00;Vente;87000;189
190;2020-01-03 00:00:00;Vente;142000;190
191;2020-01-15 00:00:00;Vente;66000;191
192;2020-01-22 00:00:00;Vente;71500;192
193;2020-01-10 00:00:00;Vente;68100;193
194;2020-01-24 00:00:00;Vente;58900;194
195;2020-02-17 00:00:00;Vente;37900;195
196;2020-02-14 00:00:00;Vente;70000;196
197;2020-02-21 00:00:00;Vente;112900;197
198;2020-02-21 00:00:00;Vente;39500;198
199;2020-02-24 00:00:00;Vente;39900;199
200;2020-02-19 00:00:00;Vente;78100;200
201;2020-02-06 00:00:00;Vente;37015;201
202;2020-03-12 00:00:00;Vente;93000;202
203;2020-04-09 00:00:00;Vente;35000;203
204;2020-04-06 00:00:00;Vente;42500;204
205;2020-04-09 00:00:00;Vente;88000;205
206;2020-05-06 00:00:00;Vente;80900;206
207;2020-05-04 00:00:00;Vente;34000;207
208;2020-05-18 00:00:00;Vente;84000;208
209;2020-05-11 00:00:00;Vente;90000;209
210;2020-05-26 00:00:00;Vente;81500;210
211;2020-05-26 00:00:00;Vente;27000;211
212;2020-05-26 00:00:00;Vente;20000;212
213;2020-05-29 00:00:00;Vente;137000;213
214;2020-05-30 00:00:00;Vente;44500;214
215;2020-06-05 00:00:00;Vente;75000;215
216;2020-05-22 00:00:00;Vente;44000;216
217;2020-06-25 00:00:00;Vente;32500;217
218;2020-06-23 00:00:00;Vente;35500;218
219;2020-06-24 00:00:00;Vente;365000;219
220;2020-06-24 00:00:00;Vente;55000;220
221;2020-06-30 00:00:00;Vente;29500;221
222;2020-01-15 00:00:00;Vente;370000;222
223;2020-02-07 00:00:00;Vente;41000;223
224;2020-03-06 00:00:00;Vente;107000;224
225;2020-06-19 00:00:00;Vente;68700;225
226;2020-01-10 00:00:00;Vente;290000;226
227;2020-02-04 00:00:00;Vente;57000;227
228;2020-01-31 00:00:00;Vente;274000;228
229;2020-02-06 00:00:00;Vente;39000;229
230;2020-02-18 00:00:00;Vente;102345;230
231;2020-02-07 00:00:00;Vente;63500;231
232;2020-02-04 00:00:00;Vente;181000;232
233;2020-02-13 00:00:00;Vente;125000;233
234;2020-02-13 00:00:00;Vente;59000;234
235;2020-02-17 00:00:00;Vente;63000;235
236;2020-02-05 00:00:00;Vente;90000;236
237;2020-01-31 00:00:00;Vente;110000;237
238;2020-02-12 00:00:00;Vente;81000;238
239;2020-02-19 00:00:00;Vente;67000;239
240;2020-02-18 00:00:00;Vente;30000;240
241;2020-02-03 00:00:00;Vente;79180;241
242;2020-03-03 00:00:00;Vente;55000;242
243;2020-02-14 00:00:00;Vente;97000;243
244;2020-03-10 00:00:00;Vente;44000;244
245;2020-03-10 00:00:00;Vente;82500;245
246;2020-03-02 00:00:00;Vente;230000;246
247;2020-02-27 00:00:00;Vente;13000;247
248;2020-04-20 00:00:00;Vente;103090;248
249;2020-04-23 00:00:00;Vente;95000;249
250;2020-05-15 00:00:00;Vente;36000;250
251;2020-03-10 00:00:00;Vente;100789;251
252;2020-03-02 00:00:00;Vente;76280;252
253;2020-05-06 00:00:00;Vente;65000;253
254;2020-05-29 00:00:00;Vente;151000;254
255;2020-05-14 00:00:00;Vente;134000;255
256;2020-05-25 00:00:00;Vente;56500;256
257;2020-06-05 00:00:00;Vente;47500;257
258;2020-06-04 00:00:00;Vente;44000;258
259;2020-05-16 00:00:00;Vente;41500;259
260;2020-05-27 00:00:00;Vente;95000;260
261;2020-05-28 00:00:00;Vente;87000;261
262;2020-06-10 00:00:00;Vente;53000;262
263;2020-06-30 00:00:00;Vente;36000;263
264;2020-06-05 00:00:00;Vente;70000;264
265;2020-06-18 00:00:00;Vente;169000;265
266;2020-06-09 00:00:00;Vente;148586;266
267;2020-06-10 00:00:00;Vente;140000;267
268;2020-06-25 00:00:00;Vente;45375;268
269;2020-01-24 00:00:00;Vente;55000;269
270;2020-02-07 00:00:00;Vente;290000;270
271;2020-03-11 00:00:00;Vente;110500;271
272;2020-06-10 00:00:00;Vente;67000;272
273;2020-06-08 00:00:00;Vente;43000;273
274;2020-01-21 00:00:00;Vente;111324;274
275;2020-01-03 00:00:00;Vente;164000;275
276;2020-01-07 00:00:00;Vente;131990;276
277;2020-01-15 00:00:00;Vente;74169;277
278;2020-01-16 00:00:00;Vente;106000;278
279;2020-03-16 00:00:00;Vente;135000;279
280;2020-02-28 00:00:00;Vente;59500;280
281;2020-03-17 00:00:00;Vente;108254;281
282;2020-05-06 00:00:00;Vente;45500;282
283;2020-05-19 00:00:00;Vente;55000;283
284;2020-06-18 00:00:00;Vente;41000;284
285;2020-05-16 00:00:00;Vente;172200;285
286;2020-05-25 00:00:00;Vente;100000;286
287;2020-05-15 00:00:00;Vente;96000;287
288;2020-05-25 00:00:00;Vente;153500;288
289;2020-05-20 00:00:00;Vente;35722.61;289
290;2020-06-09 00:00:00;Vente;26500;290
291;2020-01-04 00:00:00;Vente;84000;291
292;2020-01-03 00:00:00;Vente;71000;292
293;2020-01-10 00:00:00;Vente;38550;293
294;2020-01-21 00:00:00;Vente;118500;294
295;2020-01-06 00:00:00;Vente;196000;295
296;2020-01-11 00:00:00;Vente;48000;296
297;2020-01-03 00:00:00;Vente;43000;297
298;2020-01-21 00:00:00;Vente;29800;298
299;2020-01-20 00:00:00;Vente;175000;299
300;2020-01-22 00:00:00;Vente;34000;300
301;2020-01-17 00:00:00;Vente;40000;301
302;2020-01-15 00:00:00;Vente;42000;302
303;2020-01-21 00:00:00;Vente;39735;303
304;2020-01-29 00:00:00;Vente;105000;304
305;2020-01-14 00:00:00;Vente;128690;305
306;2020-01-23 00:00:00;Vente;113330;306
307;2020-01-16 00:00:00;Vente;300000;307
308;2020-01-20 00:00:00;Vente;77000;308
309;2020-01-29 00:00:00;Vente;75000;309
310;2020-01-03 00:00:00;Vente;33880;310
311;2020-01-20 00:00:00;Vente;42800;311
312;2020-02-07 00:00:00;Vente;64000;312
313;2020-01-31 00:00:00;Vente;105375;313
314;2020-01-30 00:00:00;Vente;40000;314
315;2020-02-04 00:00:00;Vente;61000;315
316;2020-02-10 00:00:00;Vente;44585;316
317;2020-01-24 00:00:00;Vente;67830;317
318;2020-01-23 00:00:00;Vente;71000;318
319;2020-02-07 00:00:00;Vente;43000;319
320;2020-02-05 00:00:00;Vente;75000;320
321;2020-01-31 00:00:00;Vente;113000;321
322;2020-02-13 00:00:00;Vente;52800;322
323;2020-02-14 00:00:00;Vente;57000;323
324;2020-02-14 00:00:00;Vente;37000;324
325;2020-01-27 00:00:00;Vente;51000;325
326;2020-02-04 00:00:00;Vente;115000;326
327;2020-01-31 00:00:00;Vente;160500;327
328;2020-02-07 00:00:00;Vente;62500;328
329;2020-02-14 00:00:00;Vente;52500;329
330;2020-01-30 00:00:00;Vente;66450.35;330
331;2020-01-31 00:00:00;Vente;47000;331
332;2020-02-12 00:00:00;Vente;150500;332
333;2020-02-12 00:00:00;Vente;201500;333
334;2020-01-27 00:00:00;Vente;24000;334
335;2020-02-21 00:00:00;Vente;270200;335
336;2020-01-29 00:00:00;Vente;128014.89;336
337;2020-02-13 00:00:00;Vente;90000;337
338;2020-02-25 00:00:00;Vente;68730;338
339;2020-02-17 00:00:00;Vente;19000;339
340;2020-02-22 00:00:00;Vente;44000;340
341;2020-02-04 00:00:00;Vente;37000;341
342;2020-02-08 00:00:00;Vente;67500;342
343;2020-02-13 00:00:00;Vente;76600;343
344;2020-02-06 00:00:00;Vente;52300;344
345;2020-02-19 00:00:00;Vente;40000;345
346;2020-02-11 00:00:00;Vente;80000;346
347;2020-02-12 00:00:00;Vente;62000;347
348;2020-02-21 00:00:00;Vente;146200;348
349;2020-02-14 00:00:00;Vente;61500;349
350;2020-02-07 00:00:00;Vente;88000;350
351;2020-02-26 00:00:00;Vente;77000;351
352;2020-02-29 00:00:00;Vente;63500;352
353;2020-02-25 00:00:00;Vente;58000;353
354;2020-02-26 00:00:00;Vente;230000;354
355;2020-02-24 00:00:00;Vente;135700;355
356;2020-02-27 00:00:00;Vente;76000;356
357;2020-02-14 00:00:00;Vente;61400;357
358;2020-02-27 00:00:00;Vente;44000;358
359;2020-02-17 00:00:00;Vente;69300;359
360;2020-02-14 00:00:00;Vente;41500;360
361;2020-02-21 00:00:00;Vente;230000;361
362;2020-02-21 00:00:00;Vente;220000;362
363;2020-02-26 00:00:00;Vente;67560;363
364;2020-02-22 00:00:00;Vente;39980;364
365;2020-02-19 00:00:00;Vente;61700;365
366;2020-02-20 00:00:00;Vente;70020;366
367;2020-03-03 00:00:00;Vente;226750;367
368;2020-03-03 00:00:00;Vente;81860;368
369;2020-03-03 00:00:00;Vente;69450;369
370;2020-03-02 00:00:00;Vente;33000;370
371;2020-02-21 00:00:00;Vente;83000;371
372;2020-02-15 00:00:00;Vente;62700;372
373;2020-02-25 00:00:00;Vente;44000;373
374;2020-02-15 00:00:00;Vente;43000;374
375;2020-03-09 00:00:00;Vente;101000;375
376;2020-02-28 00:00:00;Vente;77000;376
377;2020-03-06 00:00:00;Vente;70200;377
378;2020-03-06 00:00:00;Vente;43000;378
379;2020-03-31 00:00:00;Vente;47200;379
380;2020-03-14 00:00:00;Vente;65000;380
381;2020-04-21 00:00:00;Vente;70000;381
382;2020-03-18 00:00:00;Vente;46890;382
383;2020-02-26 00:00:00;Vente;54090;383
384;2020-04-30 00:00:00;Vente;43500;384
385;2020-04-30 00:00:00;Vente;77400;385
386;2020-05-05 00:00:00;Vente;128490;386
387;2020-04-30 00:00:00;Vente;130000;387
388;2020-05-04 00:00:00;Vente;87000;388
389;2020-04-24 00:00:00;Vente;155000;389
390;2020-04-29 00:00:00;Vente;19400;390
391;2020-05-07 00:00:00;Vente;51400;391
392;2020-05-12 00:00:00;Vente;35000;392
393;2020-04-15 00:00:00;Vente;110000;393
394;2020-05-18 00:00:00;Vente;64500;394
395;2020-05-15 00:00:00;Vente;86000;395
396;2020-05-15 00:00:00;Vente;45000;396
397;2020-05-19 00:00:00;Vente;87000;397
398;2020-05-12 00:00:00;Vente;111300;398
399;2020-05-13 00:00:00;Vente;230000;399
400;2020-05-20 00:00:00;Vente;67500;400
401;2020-05-27 00:00:00;Vente;105000;401
402;2020-05-13 00:00:00;Vente;28500;402
403;2020-05-28 00:00:00;Vente;27000;403
404;2020-05-26 00:00:00;Vente;113000;404
405;2020-04-30 00:00:00;Vente;48700;405
406;2020-05-13 00:00:00;Vente;29900;406
407;2020-05-07 00:00:00;Vente;29500;407
408;2020-05-27 00:00:00;Vente;46937;408
409;2020-05-29 00:00:00;Vente;55500;409
410;2020-05-14 00:00:00;Vente;142500;410
411;2020-05-16 00:00:00;Vente;35000;411
412;2020-06-03 00:00:00;Vente;32500;412
413;2020-05-26 00:00:00;Vente;64050;413
414;2020-05-29 00:00:00;Vente;60000;414
415;2020-05-29 00:00:00;Vente;45710;415
416;2020-05-29 00:00:00;Vente;55500;416
417;2020-05-30 00:00:00;Vente;35500;417
418;2020-06-06 00:00:00;Vente;20140;418
419;2020-05-26 00:00:00;Vente;25650;419
420;2020-05-18 00:00:00;Vente;126000;420
421;2020-05-20 00:00:00;Vente;61000;421
422;2020-06-11 00:00:00;Vente;54000;422
423;2020-06-03 00:00:00;Vente;30500;423
424;2020-05-28 00:00:00;Vente;80000;424
425;2020-05-20 00:00:00;Vente;28350;425
426;2020-06-06 00:00:00;Vente;78500;426
427;2020-01-25 00:00:00;Vente;57950;427
428;2020-06-16 00:00:00;Vente;55000;428
429;2020-05-29 00:00:00;Vente;63000;429
430;2020-06-03 00:00:00;Vente;62000;430
431;2020-06-10 00:00:00;Vente;134300;431
432;2020-06-20 00:00:00;Vente;56000;432
433;2020-06-12 00:00:00;Vente;130000;433
434;2020-05-28 00:00:00;Vente;41000;434
435;2020-06-11 00:00:00;Vente;272000;435
436;2020-06-15 00:00:00;Vente;117000;436
437;2020-06-15 00:00:00;Vente;75000;437
438;2020-06-03 00:00:00;Vente;206000;438
439;2020-06-13 00:00:00;Vente;83000;439
440;2020-06-26 00:00:00;Vente;35000;440
441;2020-06-18 00:00:00;Vente;300000;441
442;2020-06-06 00:00:00;Vente;33000;442
443;2020-06-26 00:00:00;Vente;57500;443
444;2020-06-05 00:00:00;Vente;63000;444
445;2020-06-26 00:00:00;Vente;25000;445
446;2020-06-10 00:00:00;Vente;225500;446
447;2020-06-29 00:00:00;Vente;55800;447
448;2020-06-23 00:00:00;Vente;135000;448
449;2020-06-11 00:00:00;Vente;95000;449
450;2020-06-17 00:00:00;Vente;64000;450
451;2020-06-30 00:00:00;Vente;135000;451
452;2020-06-30 00:00:00;Vente;90000;452
453;2020-01-29 00:00:00;Vente;75000;453
454;2020-01-20 00:00:00;Vente;41500;454
455;2020-01-16 00:00:00;Vente;41080;455
456;2020-02-12 00:00:00;Vente;;456
457;2020-01-16 00:00:00;Vente;310000;457
458;2020-02-07 00:00:00;Vente;159550;458
459;2020-01-22 00:00:00;Vente;150000;459
460;2020-02-18 00:00:00;Vente;165500;460
461;2020-02-21 00:00:00;Vente;67200;461
462;2020-02-12 00:00:00;Vente;230000;462
463;2020-02-05 00:00:00;Vente;220000;463
464;2020-02-07 00:00:00;Vente;53320;464
465;2020-02-10 00:00:00;Vente;49000;465
466;2020-02-24 00:00:00;Vente;110000;466
467;2020-02-27 00:00:00;Vente;238000;467
468;2020-02-24 00:00:00;Vente;55000;468
469;2020-02-22 00:00:00;Vente;53260;469
470;2020-02-25 00:00:00;Vente;120250;470
471;2020-02-18 00:00:00;Vente;119390;471
472;2020-02-20 00:00:00;Vente;117110;472
473;2020-02-21 00:00:00;Vente;85000;473
474;2020-02-28 00:00:00;Vente;140150;474
475;2020-03-16 00:00:00;Vente;113000;475
476;2020-03-26 00:00:00;Vente;26630;476
477;2020-04-02 00:00:00;Vente;64000;477
478;2020-03-02 00:00:00;Vente;56900;478
479;2020-04-22 00:00:00;Vente;114275;479
480;2020-04-03 00:00:00;Vente;123000;480
481;2020-04-16 00:00:00;Vente;98000;481
482;2020-03-27 00:00:00;Vente;43000;482
483;2020-03-04 00:00:00;Vente;30250;483
484;2020-04-27 00:00:00;Vente;50740;484
485;2020-04-30 00:00:00;Vente;146192;485
486;2020-04-27 00:00:00;Vente;40000;486
487;2020-05-06 00:00:00;Vente;80000;487
488;2020-04-30 00:00:00;Vente;65000;488
489;2020-04-22 00:00:00;Vente;112000;489
490;2020-05-14 00:00:00;Vente;85000;490
491;2020-05-13 00:00:00;Vente;47000;491
492;2020-05-14 00:00:00;Vente;67340;492
493;2020-05-29 00:00:00;Vente;65500;493
494;2020-05-28 00:00:00;Vente;125000;494
495;2020-05-26 00:00:00;Vente;153240;495
496;2020-05-30 00:00:00;Vente;75000;496
497;2020-05-29 00:00:00;Vente;23000;497
498;2020-05-28 00:00:00;Vente;107871;498
499;2020-06-04 00:00:00;Vente;33000;499
500;2020-05-30 00:00:00;Vente;187000;500
501;2020-05-11 00:00:00;Vente;51300;501
502;2020-05-28 00:00:00;Vente;45500;502
503;2020-05-29 00:00:00;Vente;59800;503
504;2020-06-08 00:00:00;Vente;75000;504
505;2020-05-16 00:00:00;Vente;32000;505
506;2020-05-18 00:00:00;Vente;36100;506
507;2020-05-15 00:00:00;Vente;50000;507
508;2020-05-18 00:00:00;Vente;81200;508
509;2020-05-29 00:00:00;Vente;148000;509
510;2020-05-22 00:00:00;Vente;46780;510
511;2020-06-10 00:00:00;Vente;233400;511
512;2020-05-15 00:00:00;Vente;165000;512
513;2020-06-05 00:00:00;Vente;55000;513
514;2020-06-06 00:00:00;Vente;34500;514
515;2020-06-03 00:00:00;Vente;125000;515
516;2020-06-09 00:00:00;Vente;144000;516
517;2020-06-19 00:00:00;Vente;179000;517
518;2020-06-05 00:00:00;Vente;181000;518
519;2020-06-08 00:00:00;Vente;278800;519
520;2020-06-05 00:00:00;Vente;220000;520
521;2020-06-05 00:00:00;Vente;136000;521
522;2020-06-23 00:00:00;Vente;30000;522
523;2020-06-08 00:00:00;Vente;85000;523
524;2020-05-29 00:00:00;Vente;39000;524
525;2020-06-23 00:00:00;Vente;19800;525
526;2020-06-26 00:00:00;Vente;21000;526
527;2020-06-15 00:00:00;Vente;202000;527
528;2020-06-12 00:00:00;Vente;44600;528
529;2020-06-15 00:00:00;Vente;39000;529
530;2020-06-05 00:00:00;Vente;212000;530
531;2020-06-06 00:00:00;Vente;152600;531
532;2020-06-06 00:00:00;Vente;66500;532
533;2020-06-06 00:00:00;Vente;69000;533
534;2020-06-29 00:00:00;Vente;76000;534
535;2020-06-15 00:00:00;Vente;51500;535
536;2020-06-26 00:00:00;Vente;141500;536
537;2020-06-15 00:00:00;Vente;153000;537
538;2020-06-24 00:00:00;Vente;85700;538
539;2020-06-23 00:00:00;Vente;19000;539
540;2020-06-15 00:00:00;Vente;190000;540
541;2020-06-22 00:00:00;Vente;202100;541
542;2020-06-30 00:00:00;Vente;64600;542
543;2020-06-29 00:00:00;Vente;90250;543
544;2020-01-03 00:00:00;Vente;616900;544
545;2020-01-03 00:00:00;Vente;212550;545
546;2020-01-02 00:00:00;Vente;229500;546
547;2020-01-13 00:00:00;Vente;191500;547
548;2020-01-13 00:00:00;Vente;140650;548
549;2020-01-10 00:00:00;Vente;228500;549
550;2020-01-15 00:00:00;Vente;112070;550
551;2020-01-06 00:00:00;Vente;212200;551
552;2020-01-14 00:00:00;Vente;195500;552
553;2020-01-10 00:00:00;Vente;158525;553
554;2020-01-16 00:00:00;Vente;171700;554
555;2020-01-08 00:00:00;Vente;340750;555
556;2020-01-09 00:00:00;Vente;179000;556
557;2020-01-09 00:00:00;Vente;121300;557
558;2020-01-03 00:00:00;Vente;317800;558
559;2020-01-10 00:00:00;Vente;262089;559
560;2020-01-09 00:00:00;Vente;314600;560
561;2020-01-17 00:00:00;Vente;767000;561
562;2020-01-17 00:00:00;Vente;116260;562
563;2020-01-10 00:00:00;Vente;414000;563
564;2020-01-14 00:00:00;Vente;413826;564
565;2020-01-20 00:00:00;Vente;327500;565
566;2020-01-06 00:00:00;Vente;643815;566
567;2020-01-14 00:00:00;Vente;652000;567
568;2020-01-20 00:00:00;Vente;113700;568
569;2020-01-17 00:00:00;Vente;1320000;569
570;2020-01-17 00:00:00;Vente;483314;570
571;2020-02-03 00:00:00;Vente;178140;571
572;2020-01-20 00:00:00;Vente;118110;572
573;2020-01-28 00:00:00;Vente;622850;573
574;2020-01-24 00:00:00;Vente;137009;574
575;2020-01-24 00:00:00;Vente;114500;575
576;2020-01-31 00:00:00;Vente;50925;576
577;2020-01-24 00:00:00;Vente;1852500;577
578;2020-01-24 00:00:00;Vente;233470;578
579;2020-02-07 00:00:00;Vente;151500;579
580;2020-01-21 00:00:00;Vente;117800;580
581;2020-02-05 00:00:00;Vente;1022000;581
582;2020-01-31 00:00:00;Vente;200150;582
