id_bien_immo;code_local;type_local;surf_re;nbre_piece;surf_car;id_com
153;2;Appartement;2;0;2.36;13
154;2;Appartement;68;3;68.92;4
155;2;Appartement;68;3;68.45;9
156;1;Maison;103;4;102.52;18
157;2;Appartement;59;2;59.67;25
158;2;Appartement;77;4;77.86;9
159;1;Maison;106;4;105.12;42
160;2;Appartement;63;3;63.27;13
161;2;Appartement;133;4;133.24;6
162;2;Appartement;63;3;67.33;2
163;2;Appartement;65;3;68.69;25
164;2;Appartement;59;2;58.3;4
165;2;Appartement;112;5;111.06;6
166;2;Appartement;117;5;117.63;17
167;2;Appartement;82;4;85.12;20
168;2;Appartement;42;2;42.01;11
169;1;Maison;96;5;96.46;2
170;2;Appartement;58;3;57.5;17
171;2;Appartement;90;4;90.4;2
172;2;Appartement;42;2;42.59;11
173;2;Appartement;35;1;50.11;2
174;2;Appartement;33;2;32.6;9
175;1;Maison;88;4;103.62;15
176;2;Appartement;60;2;135.89;43
177;2;Appartement;166;5;166.98;6
178;2;Appartement;65;2;58.13;44
179;2;Appartement;39;2;38.67;45
180;1;Maison;110;5;120.5;46
181;2;Appartement;90;3;86.8;47
182;2;Appartement;47;1;41.82;48
183;2;Appartement;56;2;56.63;49
184;2;Appartement;77;3;79.06;50
185;2;Appartement;65;3;65.82;46
186;2;Appartement;44;3;38.43;51
187;2;Appartement;85;4;85.95;52
188;2;Appartement;48;2;48.42;53
189;1;Maison;82;4;80.87;54
190;2;Appartement;156;6;165.11;55
191;2;Appartement;72;4;71.5;55
192;2;Appartement;82;3;82.54;55
193;2;Appartement;41;2;39.97;55
194;2;Appartement;158;4;146.68;56
195;2;Appartement;40;2;31.6;55
196;1;Maison;80;4;92;54
197;2;Appartement;65;3;73.5;55
198;2;Appartement;30;1;23.82;55
199;2;Appartement;40;2;37.3;55
200;2;Appartement;53;2;49.1;55
201;2;Appartement;31;1;30.94;55
202;1;Maison;67;3;65.66;55
203;2;Appartement;27;1;27.19;55
204;2;Appartement;53;2;46.92;55
205;1;Maison;82;4;78.3;55
206;2;Appartement;90;5;88.5;55
207;2;Appartement;27;1;24.05;55
208;1;Maison;92;4;92.54;57
209;2;Appartement;62;3;60.05;54
210;2;Appartement;90;5;89;55
211;2;Appartement;27;1;23.86;55
212;2;Appartement;64;3;25;58
213;2;Appartement;155;5;148.41;59
214;2;Appartement;48;2;47.44;55
215;1;Maison;90;4;80.14;55
216;2;Appartement;53;3;53.42;55
217;2;Appartement;67;3;66.36;60
218;2;Appartement;29;1;28.13;55
219;1;Maison;119;4;88.14;55
220;2;Appartement;76;3;77.91;55
221;2;Appartement;27;1;26.4;55
222;2;Appartement;122;4;119.4;61
223;2;Appartement;32;1;33.49;61
224;2;Appartement;127;4;96.4;61
225;2;Appartement;52;2;53.22;61
226;2;Appartement;143;5;142.98;62
227;2;Appartement;43;2;50.16;63
228;2;Appartement;127;4;108.49;62
229;2;Appartement;29;1;29.16;62
230;1;Maison;81;4;79.27;62
231;2;Appartement;67;4;64.21;62
232;2;Appartement;122;5;121.9;62
233;1;Maison;145;4;145.28;64
234;2;Appartement;49;3;49.99;64
235;2;Appartement;58;2;58.67;65
236;1;Maison;50;3;55.74;66
237;2;Appartement;77;5;77.56;65
238;2;Appartement;48;2;49.33;62
239;2;Appartement;36;3;47.02;62
240;2;Appartement;75;2;37.18;62
241;1;Maison;109;6;106;67
242;1;Maison;64;3;39.62;68
243;2;Appartement;81;4;81.62;65
244;2;Appartement;44;1;41.42;62
245;2;Appartement;83;3;62.15;62
246;2;Appartement;59;4;59.81;62
247;2;Appartement;26;1;20.45;62
248;2;Appartement;86;3;89.56;65
249;1;Maison;110;6;570;69
250;2;Appartement;21;1;21.4;65
251;2;Appartement;57;2;49.46;62
252;2;Appartement;44;2;45.12;62
253;2;Appartement;72;3;68.95;62
254;2;Appartement;76;3;76.95;70
255;2;Appartement;72;2;72.93;62
256;2;Appartement;64;3;65.9;62
257;2;Appartement;32;2;31.84;62
258;2;Appartement;23;1;20.69;65
259;2;Appartement;33;1;29.36;62
260;2;Appartement;54;3;67.85;65
261;2;Appartement;42;3;51.07;65
262;2;Appartement;30;1;29.21;62
263;2;Appartement;25;1;23.7;62
264;2;Appartement;75;3;73.94;62
265;1;Maison;110;6;93.89;69
266;2;Appartement;67;3;68.37;62
267;2;Appartement;73;3;73.65;62
268;2;Appartement;32;1;31.62;62
269;2;Appartement;60;3;60.2;71
270;2;Appartement;54;3;48.5;71
271;2;Appartement;58;3;57.74;71
272;2;Appartement;75;4;78.24;71
273;2;Appartement;64;3;64.24;72
274;2;Appartement;33;2;34.46;73
275;2;Appartement;77;3;124.01;73
276;2;Appartement;38;1;34.9;73
277;2;Appartement;22;1;22.19;73
278;2;Appartement;84;4;83.87;73
279;1;Maison;112;5;107.77;74
280;2;Appartement;60;4;61.4;73
281;1;Maison;85;5;128.8;74
282;2;Appartement;59;3;58.46;74
283;2;Appartement;40;2;40.06;74
284;2;Appartement;79;4;78.3;73
285;2;Appartement;105;5;106;75
286;2;Appartement;80;3;74.54;76
287;2;Appartement;79;3;81.72;76
288;2;Appartement;67;4;67.64;76
289;2;Appartement;47;2;42.98;76
290;2;Appartement;45;2;40.57;76
291;2;Appartement;119;4;105.71;77
292;2;Appartement;133;4;106.43;78
293;2;Appartement;31;1;29.74;79
294;2;Appartement;66;3;65.4;80
295;2;Appartement;120;4;144.6;81
296;2;Appartement;24;1;24.74;82
297;2;Appartement;33;1;32.89;77
298;2;Appartement;20;1;20.92;83
299;2;Appartement;120;4;93.76;84
300;2;Appartement;20;1;20.73;85
301;2;Appartement;27;2;26.6;86
302;2;Appartement;50;3;40;87
303;2;Appartement;26;1;27.46;83
304;2;Appartement;51;2;51.42;81
305;1;Maison;71;3;71.39;81
306;2;Appartement;49;2;41.16;82
307;2;Appartement;32;2;65.5;88
308;2;Appartement;35;2;34.95;83
309;2;Appartement;52;3;60.66;89
310;2;Appartement;25;1;24.32;79
311;2;Appartement;23;1;23.02;90
312;2;Appartement;63;2;59.73;85
313;2;Appartement;33;2;33.05;91
314;2;Appartement;23;1;23.25;81
315;2;Appartement;30;2;30.47;81
316;2;Appartement;29;1;28.33;81
317;2;Appartement;44;1;35.97;79
318;1;Maison;32;2;20.85;92
319;2;Appartement;21;1;20.55;83
320;2;Appartement;147;5;142.9;93
321;2;Appartement;18;1;18.44;91
322;2;Appartement;30;1;26.76;79
323;2;Appartement;51;2;53.1;81
324;2;Appartement;23;2;35.2;79
325;2;Appartement;18;1;18.84;91
326;2;Appartement;80;3;80.26;94
327;2;Appartement;74;4;76.81;95
328;2;Appartement;80;3;79.54;77
329;2;Appartement;85;2;72.07;77
330;2;Appartement;29;2;29.66;96
331;2;Appartement;37;2;29.03;83
332;1;Maison;79;5;82.37;97
333;2;Appartement;41;2;33.8;95
334;2;Appartement;19;1;19.72;83
335;2;Appartement;98;4;15;97
336;2;Appartement;60;3;58.96;90
337;2;Appartement;42;2;42.73;95
338;2;Appartement;27;1;25.32;91
339;2;Appartement;20;1;14.41;83
340;2;Appartement;60;2;38.97;78
341;2;Appartement;35;3;44.44;77
342;1;Maison;29;1;27.26;95
343;2;Appartement;84;5;83.88;97
344;2;Appartement;29;2;25.55;98
345;2;Appartement;38;1;40.4;99
346;2;Appartement;44;2;136.86;77
347;2;Appartement;87;4;90.75;87
348;1;Maison;66;2;59.36;100
349;2;Appartement;27;1;26.99;83
350;2;Appartement;68;3;67.22;81
351;2;Appartement;30;2;39.16;101
352;2;Appartement;27;1;25.07;91
353;2;Appartement;68;3;63.73;97
354;2;Appartement;100;4;102.87;91
355;2;Appartement;81;4;82.11;81
356;2;Appartement;24;1;23.35;91
357;2;Appartement;31;1;30.05;97
358;2;Appartement;51;2;49.2;95
359;2;Appartement;24;1;24.25;91
360;2;Appartement;36;2;37.55;98
361;2;Appartement;81;2;108.85;83
362;2;Appartement;59;3;73.99;98
363;2;Appartement;28;1;28.02;82
364;2;Appartement;27;1;22.91;87
365;2;Appartement;27;1;27.36;91
366;2;Appartement;27;1;27.22;91
367;1;Maison;95;4;92.94;95
368;2;Appartement;30;1;30.95;91
369;2;Appartement;60;2;62.43;97
370;2;Appartement;36;1;35.71;81
371;2;Appartement;61;2;61.53;102
372;2;Appartement;26;1;27.18;91
373;2;Appartement;18;1;18;84
374;2;Appartement;25;1;24.87;98
375;2;Appartement;70;3;62.85;103
376;2;Appartement;54;3;56.52;97
377;2;Appartement;70;4;52.45;81
378;2;Appartement;64;4;67;97
379;2;Appartement;28;1;28.48;85
380;2;Appartement;54;3;54.33;97
381;2;Appartement;46;2;35.65;85
382;2;Appartement;23;1;21.35;81
383;2;Appartement;33;1;32.84;98
384;2;Appartement;19;1;19.28;104
385;2;Appartement;61;2;55.5;77
386;2;Appartement;75;4;73.48;81
387;2;Appartement;74;3;75.06;77
388;2;Appartement;82;4;83.46;97
389;1;Maison;93;4;89.06;80
390;2;Appartement;24;2;25.08;87
391;2;Appartement;26;1;26.41;83
392;2;Appartement;54;4;54.79;81
393;2;Appartement;45;2;42.72;98
394;2;Appartement;50;2;45.2;95
395;2;Appartement;45;2;44.24;80
396;2;Appartement;15;1;41.7;105
397;2;Appartement;50;2;46.21;90
398;2;Appartement;63;3;64.99;95
399;1;Maison;87;4;97.07;106
400;2;Appartement;27;1;27.5;91
401;2;Appartement;56;3;54.64;95
402;2;Appartement;52;2;44.2;97
403;2;Appartement;17;1;16.61;83
404;2;Appartement;47;2;46.42;95
405;2;Appartement;26;2;25.44;90
406;2;Appartement;18;1;17.31;83
407;2;Appartement;39;1;22.9;81
408;2;Appartement;30;2;46.93;87
409;2;Appartement;40;2;38.9;90
410;2;Appartement;110;5;152.65;107
411;2;Appartement;40;1;36.42;108
412;2;Appartement;38;1;25.95;109
413;2;Appartement;53;2;53.81;97
414;2;Appartement;31;1;30;98
415;2;Appartement;25;2;24.89;79
416;2;Appartement;38;3;45.22;79
417;2;Appartement;23;1;22.92;79
418;2;Appartement;15;1;11.43;83
419;2;Appartement;18;1;16.81;90
420;2;Appartement;66;4;68.19;97
421;2;Appartement;63;3;59.5;97
422;2;Appartement;20;2;28.4;83
423;2;Appartement;20;1;18.26;84
424;1;Maison;63;3;28.9;85
425;2;Appartement;25;1;25.9;98
426;2;Appartement;28;1;30;91
427;2;Appartement;29;1;29.85;98
428;1;Maison;32;2;21.71;92
429;2;Appartement;66;4;69.7;81
430;2;Appartement;62;3;60.28;81
431;2;Appartement;75;3;75.3;97
432;2;Appartement;26;1;26.09;83
433;2;Appartement;46;2;64.96;90
434;2;Appartement;17;1;17.6;83
435;1;Maison;121;4;119.9;104
436;2;Appartement;38;2;36.24;91
437;2;Appartement;25;1;25.35;91
438;2;Appartement;100;4;99.22;101
439;2;Appartement;28;1;28;91
440;2;Appartement;25;1;27.45;83
441;1;Maison;248;8;245.13;97
442;2;Appartement;40;2;56.04;87
443;2;Appartement;54;2;50.05;81
444;1;Maison;20;1;20.5;92
445;1;Maison;110;4;25.4;81
446;2;Appartement;114;5;130.2;103
447;2;Appartement;17;1;17.14;91
448;2;Appartement;58;3;56.19;98
449;1;Maison;49;2;50.04;97
450;2;Appartement;39;1;37.71;98
451;2;Appartement;116;5;119.4;102
452;2;Appartement;68;4;67.58;77
453;2;Appartement;46;2;46.78;110
454;2;Appartement;22;1;19.15;111
455;2;Appartement;22;1;23.69;112
456;2;Appartement;17;1;17.34;113
457;2;Appartement;65;4;56.2;114
458;2;Appartement;63;4;59.6;115
459;2;Appartement;43;2;44.71;113
460;2;Appartement;70;3;62.38;116
461;2;Appartement;52;3;49.61;117
462;2;Appartement;35;1;55.76;113
463;1;Maison;47;4;80.48;118
464;2;Appartement;26;1;26.52;119
465;2;Appartement;29;1;29.33;110
466;2;Appartement;38;2;45.08;116
467;2;Appartement;82;6;72.72;116
468;2;Appartement;35;2;35.18;116
469;2;Appartement;29;2;25.61;120
470;2;Appartement;32;2;32;121
471;2;Appartement;65;3;69.45;122
472;2;Appartement;78;4;78.84;116
473;2;Appartement;40;2;37.09;123
474;2;Appartement;85;3;65.39;120
475;2;Appartement;61;2;47.48;124
476;2;Appartement;25;1;26.1;125
477;2;Appartement;40;1;40.92;116
478;2;Appartement;24;1;26;126
479;2;Appartement;66;4;67;116
480;2;Appartement;63;3;56.5;117
481;2;Appartement;39;2;38.5;127
482;2;Appartement;40;2;42.7;128
483;2;Appartement;17;1;16.7;129
484;2;Appartement;26;1;0.4;116
485;1;Maison;69;3;59.66;130
486;2;Appartement;21;1;21.2;131
487;2;Appartement;45;2;43.36;120
488;2;Appartement;56;3;56.81;132
489;2;Appartement;43;3;43.33;114
490;2;Appartement;32;2;32.8;120
491;2;Appartement;14;1;15.42;133
492;2;Appartement;24;1;24.64;124
493;2;Appartement;30;2;28.5;121
494;2;Appartement;66;2;66.45;116
495;2;Appartement;61;3;59.9;120
496;2;Appartement;63;3;54.99;117
497;2;Appartement;16;1;18.04;117
498;2;Appartement;28;1;28.56;134
499;2;Appartement;25;1;23.66;121
500;2;Appartement;122;5;121.56;135
501;2;Appartement;30;2;30.72;121
502;2;Appartement;33;2;32.97;117
503;2;Appartement;30;1;28.61;120
504;2;Appartement;29;2;30.74;121
505;2;Appartement;31;1;30.59;125
506;2;Appartement;37;2;33.5;128
507;2;Appartement;30;2;30.52;121
508;2;Appartement;50;2;51.85;136
509;2;Appartement;69;2;63.2;117
510;2;Appartement;24;3;23.08;131
511;1;Maison;70;3;86.49;130
512;2;Appartement;36;2;36.44;121
513;2;Appartement;30;2;28.96;127
514;2;Appartement;25;1;26.42;121
515;2;Appartement;49;2;49.06;120
516;1;Maison;100;5;100.11;130
517;1;Maison;82;4;89.03;132
518;2;Appartement;44;2;43.44;118
519;2;Appartement;126;4;119.95;137
520;2;Appartement;62;4;25.1;138
521;2;Appartement;57;3;49.55;137
522;2;Appartement;25;1;26.62;121
523;2;Appartement;28;2;28.79;121
524;2;Appartement;18;1;18.63;113
525;2;Appartement;53;4;14;139
526;2;Appartement;17;1;16.99;121
527;2;Appartement;66;3;68.23;116
528;2;Appartement;22;2;21.48;131
529;2;Appartement;17;1;16.9;131
530;2;Appartement;100;4;101.99;140
531;2;Appartement;61;3;54.25;114
532;2;Appartement;27;1;26.78;127
533;2;Appartement;27;1;27.06;127
534;2;Appartement;35;2;34.97;116
535;2;Appartement;19;1;18.45;129
536;2;Appartement;39;3;39.3;129
537;2;Appartement;35;2;35.51;121
538;2;Appartement;45;2;52.24;120
539;2;Appartement;16;1;14.33;111
540;2;Appartement;51;2;49.21;141
541;2;Appartement;40;3;39.2;124
542;2;Appartement;31;1;30.34;127
543;2;Appartement;28;1;28.32;124
544;2;Appartement;98;4;99.04;142
545;2;Appartement;95;3;30.2;142
546;2;Appartement;82;3;80.25;142
547;2;Appartement;72;4;72.25;143
548;2;Appartement;19;1;19.23;142
549;2;Appartement;58;2;56.45;142
550;2;Appartement;18;1;18.02;142
551;2;Appartement;33;2;32.83;142
552;2;Appartement;46;2;48.23;144
553;2;Appartement;33;1;34.04;142
554;2;Appartement;36;2;36.26;143
555;2;Appartement;36;3;69;142
556;2;Appartement;41;2;45.5;145
557;2;Appartement;15;1;13.69;143
558;2;Appartement;68;3;68.75;144
559;2;Appartement;33;2;34.31;143
560;2;Appartement;70;3;68.35;143
561;2;Appartement;111;4;114.78;142
562;2;Appartement;22;1;30.76;142
563;2;Appartement;80;4;78.45;142
564;2;Appartement;62;2;64.25;142
565;2;Appartement;113;5;118.14;143
566;2;Appartement;144;4;133.44;142
567;2;Appartement;130;4;96;143
568;2;Appartement;28;1;28.32;143
569;2;Appartement;95;3;93.6;143
570;2;Appartement;76;2;79.48;142
571;2;Appartement;20;1;19.88;143
572;2;Appartement;42;1;43.48;144
573;2;Appartement;91;3;90.1;143
574;2;Appartement;20;1;19.11;142
575;2;Appartement;33;2;24.92;143
576;2;Appartement;16;1;16.54;143
577;2;Appartement;158;5;172.21;143
578;2;Appartement;34;1;36.11;143
579;2;Appartement;46;3;46.34;143
580;2;Appartement;17;1;17.05;142
581;2;Appartement;127;4;131.09;142
582;2;Appartement;55;3;53.84;144
583;2;Appartement;40;2;31.2;143
584;1;Maison;83;3;106.78;146
585;2;Appartement;87;3;86.82;142
586;2;Appartement;22;1;23.13;142
587;2;Appartement;75;3;78.01;142
588;2;Appartement;34;2;38.29;143
589;2;Appartement;45;4;45.51;142
590;2;Appartement;36;2;33.27;143
591;2;Appartement;86;4;81.04;144
592;2;Appartement;36;1;26.51;142
593;2;Appartement;71;5;73.71;143
594;2;Appartement;23;1;22.24;142
595;2;Appartement;44;2;44.01;142
596;2;Appartement;25;2;25.75;146
597;2;Appartement;66;4;66.41;142
598;2;Appartement;75;3;68.39;142
599;2;Appartement;130;5;154;142
600;2;Appartement;81;3;81.26;142
601;2;Appartement;55;2;54.03;142
602;2;Appartement;36;2;34.81;146
603;2;Appartement;52;2;48.02;146
604;2;Appartement;30;2;27.57;143
605;2;Appartement;42;3;44.15;143
606;2;Appartement;95;3;82.1;143
607;2;Appartement;35;2;34.65;143
608;2;Appartement;34;2;37.1;142
609;2;Appartement;52;2;53.08;142
610;2;Appartement;14;1;13.55;142
611;2;Appartement;59;4;60.77;143
612;2;Appartement;30;1;22.2;142
613;2;Appartement;78;3;95.59;143
614;2;Appartement;25;2;26.41;143
615;2;Appartement;56;2;60.32;143
616;2;Appartement;46;2;42.14;144
617;2;Appartement;86;3;88.1;142
618;2;Appartement;61;3;69.7;142
619;2;Appartement;100;4;104.48;143
620;2;Appartement;25;1;44.49;144
621;2;Appartement;26;1;26.55;143
622;2;Appartement;76;4;76.2;146
623;2;Appartement;26;1;26.67;142
624;2;Appartement;46;2;38.1;143
625;2;Appartement;253;5;265.26;144
626;2;Appartement;35;3;80.6;144
627;2;Appartement;21;1;22.08;142
628;2;Appartement;43;2;44.36;143
629;2;Appartement;57;4;56.1;143
630;2;Appartement;55;3;55.11;145
631;2;Appartement;52;2;49.73;142
632;2;Appartement;126;5;20.77;142
633;1;Maison;63;3;64.63;146
634;2;Appartement;68;3;72.8;146
635;2;Appartement;41;2;42.24;143
636;2;Appartement;46;2;44.77;142
637;2;Appartement;90;3;91;142
638;2;Appartement;43;1;42.9;142
639;2;Appartement;51;2;51.15;144
640;2;Appartement;85;3;78.87;142
641;2;Appartement;19;1;15.24;144
642;2;Appartement;209;7;220.02;142
643;2;Appartement;25;1;271.58;143
644;2;Appartement;25;1;22.75;142
645;2;Appartement;36;2;35.87;142
646;2;Appartement;100;4;131.19;144
647;2;Appartement;118;4;110.6;144
648;2;Appartement;53;2;50.32;142
649;2;Appartement;33;2;33.33;143
650;1;Maison;72;4;63.6;143
651;2;Appartement;19;1;19.39;143
652;2;Appartement;10;1;9.82;144
653;2;Appartement;50;2;51.5;142
654;2;Appartement;90;3;185.05;143
655;2;Appartement;49;2;60.13;142
656;2;Appartement;45;2;45;143
657;2;Appartement;63;2;55.86;142
658;2;Appartement;86;4;90.53;142
659;2;Appartement;82;4;80.27;142
660;2;Appartement;36;2;34.93;143
661;2;Appartement;45;2;44.12;146
662;2;Appartement;15;1;6.67;143
663;2;Appartement;15;1;15.9;143
664;2;Appartement;26;1;26.2;142
665;2;Appartement;34;1;34.39;142
666;2;Appartement;120;4;115.22;143
667;2;Appartement;40;1;37.98;142
668;2;Appartement;84;4;80.71;142
669;2;Appartement;113;5;109.5;142
670;2;Appartement;39;2;77.62;143
671;2;Appartement;30;2;41.24;143
672;2;Appartement;82;4;62.5;147
673;2;Appartement;60;3;50.04;143
674;2;Appartement;88;4;89.66;142
675;2;Appartement;31;2;32.6;143
676;2;Appartement;66;3;66.35;143
677;2;Appartement;100;5;91.17;143
678;2;Appartement;56;3;56.89;143
679;2;Appartement;86;3;89.5;142
680;2;Appartement;44;3;44.11;144
681;2;Appartement;60;3;33.04;143
682;2;Appartement;25;1;26.05;143
683;2;Appartement;21;1;18.69;142
684;2;Appartement;33;1;34.33;142
685;2;Appartement;36;2;36.55;143
686;2;Appartement;38;2;38.58;143
687;2;Appartement;41;2;40.75;143
688;2;Appartement;57;3;53.19;144
689;2;Appartement;65;3;61.35;142
690;2;Appartement;66;3;74.62;146
691;2;Appartement;60;2;56.19;143
692;2;Appartement;85;3;98.18;142
693;2;Appartement;35;3;38.82;143
694;2;Appartement;14;1;14.35;142
695;2;Appartement;39;2;41.36;143
696;2;Appartement;153;5;150.36;142
697;2;Appartement;17;1;18.18;143
698;2;Appartement;20;1;18.81;142
699;2;Appartement;32;1;32.24;142
700;2;Appartement;30;1;164.4;142
701;2;Appartement;91;4;89.27;142
702;2;Appartement;85;4;86.05;145
703;2;Appartement;64;3;64.2;143
704;2;Appartement;68;3;69.59;146
705;2;Appartement;57;4;52.32;144
706;2;Appartement;73;2;75.25;142
707;2;Appartement;44;3;57.1;143
708;2;Appartement;33;2;35.02;142
709;2;Appartement;127;5;114.02;142
710;2;Appartement;55;3;58.27;143
711;2;Appartement;141;3;142.86;142
712;2;Appartement;34;2;34.02;143
713;2;Appartement;53;2;59.25;142
714;2;Appartement;32;2;26.75;143
715;2;Appartement;46;2;56.05;143
716;2;Appartement;69;2;51.15;142
717;2;Appartement;34;1;27.03;142
718;2;Appartement;32;2;22.24;143
719;2;Appartement;150;4;140.7;142
720;2;Appartement;40;1;35.5;143
721;2;Appartement;61;3;68.6;143
722;2;Appartement;85;3;73.07;142
723;2;Appartement;55;2;53.37;143
724;2;Appartement;68;4;83.52;143
725;1;Maison;87;4;109;147
726;2;Appartement;120;5;125.28;142
727;2;Appartement;57;2;53.72;142
728;2;Appartement;47;2;41.51;142
729;2;Appartement;59;3;60.34;144
730;2;Appartement;26;1;25.49;142
731;2;Appartement;70;3;74.41;146
732;2;Appartement;17;1;17.55;143
733;2;Appartement;35;3;36.22;143
734;2;Appartement;30;1;28.89;142
735;2;Appartement;60;3;56.32;142
736;2;Appartement;34;2;33.53;143
737;2;Appartement;200;7;27;142
738;2;Appartement;74;3;73.43;144
739;2;Appartement;16;1;16.8;143
740;2;Appartement;33;1;39.79;142
741;2;Appartement;70;3;69;146
742;2;Appartement;41;3;41.01;143
743;2;Appartement;60;3;54.49;142
744;2;Appartement;42;2;41.27;142
745;2;Appartement;23;1;23.04;142
746;2;Appartement;29;1;27.08;143
747;2;Appartement;30;2;43.08;143
